,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
0,1100015.0,Alta Floresta D'Oeste,11.0,RO,497.7219512195122,504.03409090909093,491.07954545454544,543.5585365853659,621.3636363636364
1,1100023.0,Ariquemes,11.0,RO,474.7739864864865,495.727950310559,484.710248447205,518.8111486486487,584.5341614906832
2,1100031.0,Cabixi,11.0,RO,477.26666666666665,486.07142857142856,447.62857142857143,522.8833333333333,471.42857142857144
3,1100049.0,Cacoal,11.0,RO,489.744,505.0060606060606,490.9919191919192,533.4589333333333,611.7171717171717
4,1100056.0,Cerejeiras,11.0,RO,479.26875,477.04571428571427,454.7228571428571,480.696875,576.5714285714286
5,1100064.0,Colorado do Oeste,11.0,RO,479.88599999999997,512.2862745098039,494.0921568627451,539.089,626.0784313725491
6,1100072.0,Corumbiara,11.0,RO,439.18461538461537,466.4142857142857,432.5357142857143,445.2769230769231,577.1428571428571
7,1100080.0,Costa Marques,11.0,RO,438.4181818181818,465.6921052631579,451.82894736842104,478.2909090909091,492.10526315789474
8,1100098.0,Espigão D'Oeste,11.0,RO,461.71724137931034,469.6543478260869,466.0641304347826,502.4574712643678,548.695652173913
9,1100106.0,Guajará-Mirim,11.0,RO,451.46766467065873,467.28201058201057,464.684126984127,485.63832335329346,470.6878306878307
10,1100114.0,Jaru,11.0,RO,472.34328358208955,501.16917808219176,481.43767123287665,507.1111940298507,590.0
11,1100122.0,Ji-Paraná,11.0,RO,484.3064593301436,502.3502232142857,487.7651785714285,522.1868421052632,566.7410714285714
12,1100130.0,Machadinho D'Oeste,11.0,RO,460.83962264150944,482.1385964912281,470.74912280701756,485.5433962264151,503.50877192982455
13,1100148.0,Nova Brasilândia D'Oeste,11.0,RO,462.5551724137931,489.121875,478.515625,514.2758620689655,593.75
14,1100155.0,Ouro Preto do Oeste,11.0,RO,458.246875,476.9068493150684,470.3260273972603,507.7,579.7260273972603
15,1100189.0,Pimenta Bueno,11.0,RO,465.74615384615385,473.19743589743587,471.03760683760686,488.3384615384615,527.1794871794872
16,1100205.0,Porto Velho,11.0,RO,473.5611349036402,496.4986213687838,482.8961102904973,511.2371520342612,595.9133431806991
17,1100254.0,Presidente Médici,11.0,RO,461.2964285714285,446.5276923076923,454.5446153846154,484.0339285714286,516.6153846153846
18,1100262.0,Rio Crespo,11.0,RO,468.2833333333333,445.40000000000003,438.9428571428571,455.7166666666667,531.4285714285714
19,1100288.0,Rolim de Moura,11.0,RO,480.52527472527476,494.438947368421,469.141052631579,517.8631868131869,571.8947368421053
20,1100296.0,Santa Luzia D'Oeste,11.0,RO,478.2357142857143,509.88571428571424,475.5785714285715,487.9428571428571,597.1428571428571
21,1100304.0,Vilhena,11.0,RO,488.88733333333334,519.0501567398119,500.67617554858936,534.3190000000001,588.8401253918495
22,1100320.0,São Miguel do Guaporé,11.0,RO,447.7880952380952,479.63913043478266,447.53695652173917,474.64047619047625,506.95652173913044
23,1100338.0,Nova Mamoré,11.0,RO,449.95102040816323,447.39074074074074,439.7962962962963,474.5591836734694,540.7407407407408
24,1100346.0,Alvorada D'Oeste,11.0,RO,440.51785714285717,473.5066666666667,455.78,480.28214285714284,540.6666666666666
